Title|In Live DB|In localhost.sql|Has Image
HP 67 Black Ink Cartridge|NO|YES|YES
HP 67 Tri-Color Ink Cartridge|NO|YES|YES
HP 680 Black Ink Cartridge|NO|YES|YES
HP 680 Color Ink Cartridge|NO|NO|YES
HP 954 Black Ink Cartridge|NO|YES|YES
HP GT53 Black Ink Bottle|NO|YES|YES
HP GT52 Color Ink Bottle|NO|YES|YES
Epson 003 Black Ink Bottle|NO|YES|YES
Epson 003 Cyan Ink Bottle|NO|YES|YES
Epson 003 Magenta Ink Bottle|NO|YES|YES
Epson 003 Yellow Ink Bottle|NO|NO|YES
Epson 664 Black Ink Bottle|NO|YES|YES
Epson 664 Cyan Ink Bottle|NO|NO|YES
Epson T673 Photo Black Ink Bottle|NO|NO|YES
OKI C332 Black Toner Cartridge|NO|YES|YES
OKI C332 Cyan Toner Cartridge|NO|YES|YES
OKI C332 Magenta Toner Cartridge|NO|YES|YES
OKI C332 Yellow Toner Cartridge|NO|YES|YES
OKI B412 Black Toner Cartridge|NO|YES|YES
OKI MC363 Black Toner Cartridge|NO|YES|YES
OKI MC363 Cyan Toner Cartridge|NO|YES|YES
Canon GI-790 Black Ink Bottle|NO|YES|YES
Canon GI-790 Cyan Ink Bottle|NO|YES|YES
Canon GI-790 Magenta Ink Bottle|NO|NO|YES
Canon GI-790 Yellow Ink Bottle|NO|YES|YES
Canon PG-745 Black Ink Cartridge|NO|YES|YES
Canon CL-746 Color Ink Cartridge|NO|NO|YES
Canon Cartridge 325 Toner|NO|YES|YES
Brother BT-D60 Black Ink Bottle|NO|YES|YES
Brother BT5000 Cyan Ink Bottle|NO|NO|YES
Brother BT5000 Magenta Ink Bottle|NO|NO|YES
Brother BT5000 Yellow Ink Bottle|NO|NO|YES
Brother TN-2385 Black Toner Cartridge|NO|YES|YES
Brother TN-261 Cyan Toner Cartridge|NO|YES|YES
Brother TN-261 Magenta Toner Cartridge|NO|YES|YES
Ricoh SP C250 Black Toner Cartridge|NO|YES|YES
Ricoh SP C250 Cyan Toner Cartridge|NO|NO|YES
Ricoh SP C250 Magenta Toner Cartridge|NO|YES|YES
Ricoh SP C250 Yellow Toner Cartridge|NO|YES|YES
Ricoh MP C3503 Black Toner Cartridge|NO|YES|YES
Ricoh MP C3503 Cyan Toner Cartridge|NO|YES|YES
Ricoh MP C3503 Magenta Toner Cartridge|NO|YES|YES
